"Category","Business Impact","Recommendation","Subscription ID","Subscription Name","Resource Group","Resource Name","Type","Updated Date","Potential benefits","Potential Annual Cost Savings","Potential Cost Savings Currency","Retirement date","Retiring feature"
"Reliability","Low","Convert Standard to Premium disk for higher uptime","123f7d2b-7731-4372-90da-3bc0555d6dbf","BCN Azure CSP - Garic Ltd (123f7d2b-7731-4372-90da-3bc0555d6dbf)","rg-ga-prt-prod-uks-001","printserver2","Virtual machine","2025-10-21T06:18:58.5600435Z","Enhanced performance, configurability, and uptime","",""
"Security","Medium","Guest Configuration extension should be installed on machines","123f7d2b-7731-4372-90da-3bc0555d6dbf","BCN Azure CSP - Garic Ltd (123f7d2b-7731-4372-90da-3bc0555d6dbf)","rg-ga-prt-prod-uks-001","printserver2","Virtual machine","2025-10-21T14:13:21.5307196Z","Prevent potential security breaches","",""
"Security","High","Machines should be configured to periodically check for missing system updates","123f7d2b-7731-4372-90da-3bc0555d6dbf","BCN Azure CSP - Garic Ltd (123f7d2b-7731-4372-90da-3bc0555d6dbf)","rg-ga-prt-prod-uks-001","printserver2","Virtual machine","2025-10-21T08:15:56.1942363Z","Prevent potential security breaches","",""
"Reliability","High","Use Azure Capacity Reservation for virtual machine (VM)","123f7d2b-7731-4372-90da-3bc0555d6dbf","BCN Azure CSP - Garic Ltd (123f7d2b-7731-4372-90da-3bc0555d6dbf)","rg-ga-prt-prod-uks-001","printserver2","Virtual machine","2025-10-21T10:39:05.4692140Z","Guaranteed compute capacity in constrained region or zone.","",""
"Reliability","High","Use Availability zones for better resiliency and availability","123f7d2b-7731-4372-90da-3bc0555d6dbf","BCN Azure CSP - Garic Ltd (123f7d2b-7731-4372-90da-3bc0555d6dbf)","rg-ga-prt-prod-uks-001","printserver2","Virtual machine","2025-10-21T06:34:44.7431488Z","Usage of zonal VMs protect your apps from zonal outage in any other zones.","",""
"Security","Medium","Virtual machines and virtual machine scale sets should have encryption at host enabled","123f7d2b-7731-4372-90da-3bc0555d6dbf","BCN Azure CSP - Garic Ltd (123f7d2b-7731-4372-90da-3bc0555d6dbf)","rg-ga-prt-prod-uks-001","printserver2","Virtual machine","2025-10-21T15:14:39.7729337Z","Prevent potential security breaches","",""
"Operational excellence","High","Enable Trusted Launch foundational excellence, and modern security for Existing Generation 2 VM(s)","123f7d2b-7731-4372-90da-3bc0555d6dbf","BCN Azure CSP - Garic Ltd (123f7d2b-7731-4372-90da-3bc0555d6dbf)","rg-ga-prt-prod-uks-001","printserver2","Virtual machine","2025-10-21T10:58:08.0803871Z","Boost Gen2 VM security by protecting against rootkits","",""
"Security","High","Windows virtual machines should enable Azure Disk Encryption or EncryptionAtHost.","123f7d2b-7731-4372-90da-3bc0555d6dbf","BCN Azure CSP - Garic Ltd (123f7d2b-7731-4372-90da-3bc0555d6dbf)","rg-ga-prt-prod-uks-001","printserver2","Virtual machine","2025-10-21T08:03:49.3819638Z","Prevent potential security breaches","",""
"Reliability","High","Migrate workload to D-series or better virtual machine","123f7d2b-7731-4372-90da-3bc0555d6dbf","BCN Azure CSP - Garic Ltd (123f7d2b-7731-4372-90da-3bc0555d6dbf)","rg-ga-prt-prod-uks-001","printserver2","Virtual machine","2025-10-21T05:45:21.1175546Z","Full CPU performance for heavy workload in production","",""
"Security","Medium","Machines should have a vulnerability assessment solution","123f7d2b-7731-4372-90da-3bc0555d6dbf","BCN Azure CSP - Garic Ltd (123f7d2b-7731-4372-90da-3bc0555d6dbf)","rg-ga-prt-prod-uks-001","printserver2","Virtual machine","2025-10-21T09:09:58.1388691Z","Prevent potential security breaches","",""
